Cod. Plan,Nombre Plan de negocio,Programa,Cliente,Comprador,Producto,Sub producto,Departamento,Provincia,Distrito,Ejecutado,,,,,Proyectado,,,,
,,,,,,,,,,Ventas,Venta Exportacion,Beneficiarios,Jornales,Inversion,Ventas,Venta Exportacion,Beneficiarios,Jornales,Inversion
ANC-2016-36,"MEJORAMIENTO DE LOS PROCESOS DE COSECHA,POST COSECHA,PRE SELECCIÚN Y ACOPIO DE DURAZNO DE PEQUEÒOS PRODUCTORES DE DURAZNO DE LOS DISTRITOS DE CARHUAPAMPA,CAJAMARQUILLA, ACAS,SAN PEDRO DE",PALTA Y OTROS FRUTALES,"ASOCIACION DE PRODUCTORES AGRARIOS SANTO DOMINGO DE ACO Y COMITES DE PRODUCTORES DE PIMACHI, LA MERDED, ACAS, CAJAMARQUILLA, S.P. COPA, LLIPA, NUEVA F",,DURAZNO,MELOCOTON FRESCO,ANCASH,OCROS,CAJAMARQUILLA,3752511,0,0,0,0,400000,,0,0,0
ANC-2016-37,"FORTALECER CAPACIDADES TËCNICAS EN LA PRODUCCIÚN DE QUESOS,DIVERSIFICANDO LA PRODUCCIÚN ACTUAL CON OTROS TIPOS DE QUESO DE ACUERDO A LAS EXIGENCIAS DEL MERCADO NACIONAL Y DE EXPORTACIÚN.",QUESOS MADUROS,EMPRESA AGROINDUSTRIAL CUNCASHCA S.A.,,DERIVADOS LACTEOS,QUESO MADURADO Y FRESCO,ANCASH,HUARAZ,JANGAS,,0,0,0,0,10400,,0,0,0
ANC-2016-38,"IMPLEMENTACIÛN DE BPA EN EL PROCESO PRODUCTIVO DEL CULTIVO DE AR·NDANOS, OPTIMIZANDO CONDICIONES DE FERTIRIEGO Y LA CALIDAD DEL FINAL DEL PRODUCTO.",PERU BERRIES,AGRICOLA ATHOS -EXPORTADORA FRUTICOLA DEL SUR,,ARANDANO,ARANDANO FRESCO,ANCASH,HUAYLAS,,8313272.74,8313272.74,0,0,0,7500,,0,0,0
ANC-2016-39,"MEJORAMIENTO DE LOS PROCESOS DE COSECHA,POST COSECHA,PRE SELECCI“N Y ACOPIO DE DURAZNO DE PEQUE—OS PRODUCTORES DE C.P. DE MIRAFLORES DEL DISTRITO DE SANTA ROSA,PROVINCIA DE PALLASCA REGION ANCASH",PALTA Y OTROS FRUTALES,ASOCIACION DE PRODUCTORES DE MELOCOTON DEL CENTRO POBLADO DE MIRAFLORES,,DURAZNO,MELOCOTON FRESCO,ANCASH,PALLASCA,SANTA ROSA,,0,0,0,0,20000,,0,0,0
ANC-2016-40,"IMPLEMENTACIÚN DE BPA EN EL PROCESO PRODUCTIVO DEL CULTIVO DE ARANDANOS Y ACTIVIDADES POST COSECHA DE SELECCIÚN,CLASIFICACIÚN Y PAKING DE ACUERDO A LAS EXIGENCIAS DEL MERCADO DESTINO.",PERU BERRIES,QORI FOODS SAC,,ARANDANO,ARANDANO FRESCO,ANCASH,HUAYLAS,,0,793945.39,0,0,0,20000,,0,0,0
ANC-2016-41,"MEJORA DE LA CALIDAD DEL PRODUCTO,IMPLEMENTANDO PROCESOS POST COSECHA DE SELECCIÚN,CLASIFICACIÚN Y ACOPIO DE AGUAYMANTO DE LA PRODUCCIÚN DE PRODUCTORES AGRARIOS DEL C.P. MATAQUITA DE JANGAS",PERU BERRIES,PRODUCTORES AGRARIOS DEL C.P. MATAQUITA DE JANGAS,,AGUAYMANTO,AGUAYMANTO FRESCO,ANCASH,HUARAZ,JANGAS,,0,0,0,0,10000,,0,0,0
ANC-2016-42,"IMPLEMENTAR BPA EN EL PROCESO DE COSECHA Y POST COSECHA Y ORGANIZAR Y ARTICULAR EL ACOPIO DE LA PRODUCCIÛN DE AJOS DE PEQUEÒOS PRODUCTORES DE LA PROVINCIA DE BOLOGNESI Y OCROS DE LA REGIÛN ANCASH, DE",OTROS,CORPORACION CAPAS S.A.C.,,AJO,"AJOS, FRESCOS O REFRIGERADOS",ANCASH,BOLOGNESI,COLQUIOC,4652290.43,4652290.43,0,0,0,1600000,,0,0,0
ANC-2016-43,"IMPLEMENTAR PROCESOS ADECUADOS DE COSECHA,POST COSECHA Y ORGANIZAR Y ARTICULAR EL ACOPIO DE LA PRODUCCI“N DE FREJOL CANARIO DE PEQUE—OS PRODUCTORES DE LAS PROVINCIAS DE BOLOGNESI Y OCROS DE LA REGI“N",OTROS,CORPORACION CAPAS S.A.C.,,FREJOL,FRIJOL CANARIO Y PANAMITO,ANCASH,OCROS,COCHAS,,0,0,0,0,20000,,0,0,0
ANC-2016-44,"IMPLEMENTACION DE BPA Y MEJORAMIENTO DEL PROCESO DE COSECHA,POST COSECHA,DEL CULTIVO DE TARWI CON PRODUCTORES DE LOS DISTRITOS DE CARAZ,PUEBLO LIBRE ,PAMPAROMAS,MATO Y HUAYLAS DE LA PROVINCIA DE HUAY",GRANOS ANDINOS,"ASOCIACION DE PRODUCTORES ECOLOGICOS -HUAYLAS CARAZ ""ASPE""",,TARWI,TARWI,ANCASH,HUAYLAS,,279343,0,0,0,0,15000,,0,0,0
ANC-2016-45,"IMPLEMENTACIÚN DE BPA EN EL PROCESO PRODUCTIVO DEL CULTIVO DE ARANDANOS Y ACTIVIDADES POST COSECHA DE SELECCIÚN,CLASIFICACIÚN DE ACUERDO A LAS EXIGENCIAS DEL MERCADO DESTINO.",PERU BERRIES,COMITE DE PRODUCTORES DE ARANDANO DE LA VICTORIA DE PAMPAS GRANDE,,ARANDANO,ARANDANO FRESCO,ANCASH,HUARAZ,PAMPAS,47900,0,0,0,0,10000,,0,0,0
APU-2016-01,FORTALECIMIENTO ORGANIZACIONAL Y ARTICULACION COMERCIAL DE PALTA EN LA PROVINCIA DE CHINCHEROS,PALTA Y OTROS FRUTALES,ASOCIACIÛN DE PRODUCTORES AGROPECUARIOS ORG·NICOS VALLE PAMPAS -APAOVAP Y OTRAS ORGANIZACIONES DE PRODUCTORES,JJC AGRICOLA: AGROPECURIA LAS LOMAS DE CHILCA Y AGRICOLA AYACUCHO,PALTA,PALTA HASS Y FUERTE,APURIMAC,CHINCHEROS,HUACCANA,5643000,0,0,0,0,4500000,1000000,200,17000,0
APU-2016-02,MEJORAMIENTO DE LA PRODUCCION Y COMERCIALIZACION DE CARNE DE ALPACA,GANADERIA ALTOANDINA,COOPERATIVA DE SERVICIOS ESPECIALES ALPAQUEROS CORAZON ANDINO DE ANTABAMBA LTDA,,CARNE DE ALPACA,CARNE DE ALPACA,APURIMAC,AYMARAES,COTARUSE,349200,0,0,0,0,1000000,0,150,0,0
APU-2016-03,FORTALECIMIENTO ORGANIZACIONAL Y ARTICULACION COMERCIAL DE PAPA EN EL DISTRITO DE KISHUARA - ANDAHUAYLAS,OTROS,COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES TESORO CHANKA DE ANDAHUAYLAS Y OTRAS ORGANIZACIONES DE PRODUCTORES DE PAPA NATIVA DEL DISTRITO DE KISHUAR,,PAPA,PAPA HUAYRO Y PERUANITA,APURIMAC,ANDAHUAYLAS,KISHUARA,7000000,0,0,0,0,7000000,0,150,0,0
APU-2016-04,FORTALECIMIENTO ORGANIZACIONAL Y ARTICULACION COMERCIAL DE MAIZ CHOCLO EN LA PROVINCIA DE ABANCAY,GRANOS ANDINOS,ASOCIACION DE PRODUCTORES SUMAC LLANKAY DE TRANCAPATA Y OTRAS ORGANIZACIONES.,PRODUCTOS NATURALES SELECIONADOS S.C.R.L (PRONASEL),MAIZ,MAIZ CHOCLO,APURIMAC,ABANCAY,CURAHUASI,11930593,0,0,0,0,10000000,0,200,0,0
APU-2016-05,FORTALECIMIENTO ORGANIZACIONAL Y ARTICULACION COMERCIAL DE MENESTRAS EN LA PROVINCIA DE ANDAHUAYLAS,OTROS,ORGANIZACIONES DE PRODUCTORES DE MENESTRAS DE LA PROVINCIA DE ANDAHUAYLAS,COMERCIAL HUANCAYO,FREJOL,FRIJOL CANARIO Y PANAMITO,APURIMAC,ANDAHUAYLAS,KISHUARA,300000,0,0,0,0,1000000,500000,150,0,0
APU-2016-06,FORTALECIMIENTO ORGANIZACIONAL Y ARTICULACION COMERCIAL DE CAFE EN LA PROVINCIA DE ANDAHUAYLAS,CAFE,COOPERATIVA AGRARIA CAFETALERA VALLE DE INCAHUASI,HAMBURG COFEE COMPANY HACOFCO MBH,CAFE,CAFE PERGAMINO,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,11986706.39,7726149.95,0,0,0,0,5000000,320,0,15000
APU-2016-07,FORTALECIMIENTO ORGANIZACIONAL Y ARTICULACION COMERCIAL DE PAPA EN LA PROVINCIA DE ANDAHUAYLAS,OTROS,ORGANIZACION DE PRODUCTORES DE PAPA EN LA PROVINCIA DE ANDAHUAYLAS,EXPORTADORA HITALO AGRO E.I.R.L,PAPA,PAPA HUAYRO Y PERUANITA,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,9836000,0,0,0,0,8000000,0,350,85000,0
APU-2016-08,"MEJORA DE LA COMPETITIVIDAD, INDUSTRIA E INNOVACIÛN EN EL NEGOCIO DE LA QUINUA EN LAS PROVINCIAS DE ANDAHUAYLAS Y CHINCHEROS.",GRANOS ANDINOS,COOPERATIVA AGRARIA LOS CHANKAS DE ANDARAPA- ANDAHUAYLAS Y OTRAS ORGANIZACIONES DE PRODUCTORES.,,QUINUA,QUINUA,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,3853060,0,0,0,0,2000000,2000000,350,85000,0
APU-2016-09,FORTALECIMIENTO ORGANIZACIONAL Y ARTICULACION COMERCIAL DE FIBRA DE ALPACA,GANADERIA ALTOANDINA,ASOCIACIÛN DE PRODUCTORES DE ALPACAS TAMBO INCA Y OTRAS ORGANIZACIONES DE PRODUCTORES,,FIBRA DE ALPACA,FIBRA DE ALPACA,APURIMAC,AYMARAES,COTARUSE,1985842,0,0,0,0,1500000,1000000,300,0,0
APU-2016-10,MEJORAMIENTO Y CONTROL DE CALIDAD DE PRODUCTOS LACTEOS EN LAS PROVINCIAS DE ABANCAY Y AYMARAES,OTROS,EMPRESA AGROINDUSTRIAL EL TAMBO EIRL Y OTRAS ORGANIZACIONES DE PRODUCTORES DE LAS PROVINCIAS DE ABANCAY Y AYMARAES,ACOPIADORES LOCALES,LACTEOS,LACTEOS,APURIMAC,ABANCAY,ABANCAY,484310,0,0,0,0,2000000,0,150,0,0
APU-2016-11,MEJORA DE LA COMPETITIVIDAD EN LA PRODUCCION LACTEA EN LAS PROVINCIAS DE ANDAHUAYLAS Y CHINCHEROS,OTROS,ASOCIACIÛN DE PRODUCTORES DE LECHE APROLLACH CHULLCUISA DE SAN JERONIMO Y OTRAS ORGANIZACIONES DE PRODUCTORES DE LAS PROVINCIAS DE ANDAHUAYLAS Y CHIN,MERCADOS LOCALES,LACTEOS,LACTEOS,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,4359265,0,0,0,0,3500000,0,350,0,20000
APU-2016-12,MEJORAMIENTO DE LA COMPETITIVIDAD LACTEA EN LOS DISTRITOS DE PACOBAMBA Y HUANCARAMA.,OTROS,"ASOCIACIÛN CRUZPACC ZONA VERDE DE CRUZPAMPA, ASOCIACIÛN DE GANADEROS Y PRODUCTORES DE LECHE VALLE VERDE ETERNA CCERABAMBA - ANDINA Y OTRAS ORGANIZAC",,LACTEOS,LACTEOS,APURIMAC,ANDAHUAYLAS,PACOBAMBA,394037,0,0,0,0,1000000,0,200,0,0
APU-2016-13,MEJORAMIENTO DE LA PRODUCCION Y CALIDAD DE TALLARINES DE CASA A BASE DE GRANOS DE QUINUA,GRANOS ANDINOS,"ASOCIACIÛN DE PRODUCTORES AGROINDUSTRIALES ABANQUINO ""DO—A MICA""",,QUINUA,TALLARINES DE CASA A BASE DE GRANOS ANDINOS.,APURIMAC,ABANCAY,ABANCAY,2402401,0,0,0,0,2500000,0,35,0,0
APU-2016-14,FORTALECIMIENTO DE LA ORGANIZACIÛN Y ARTICULACION COMERCIAL DE MANZANILLA EN LA PROVINCIA DE ANDAHUAYLAS.,OTROS,PRODUCTORES INDIVIDUALES Y/O EN COMITÈ DE PRODUCTORES DE LOS DISTRITOS DE LA PROVINCIA DE ANDAHUAYLAS.,INDUSTRIAS SONDOR SAC,MANZANILLA,MANZANILLA DESHIDRATADA,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,80000,0,0,0,0,180000,0,50,0,0
APU-2016-15,FORTALECIMIENTO ORGANIZACIONAL Y ARTICULACION COMERCIAL DE ANIS EN EL DISTRITO DE CURAHUASI,OTROS,"COOPERATIVA DE SERVICIOS ESPECIALES AGROINDUSTRIAL ""CHACRA VERDE"" LTDA Y OTRAS ORGANIZACIONES DE PRODUCTORES DE ANÌS",INDUSTRIAS SONDOR SAC,HIERBAS AROMATICAS,ANIS,APURIMAC,ABANCAY,CURAHUASI,,0,0,0,0,100000,0,50,0,0
APU-2016-16,FORTALECIMIENTO ORGANIZACIONAL Y ARTICULACION COMERCIAL DE MENESTRAS EN LA PROVINCIA DE ABANCAY,OTROS,CENTRAL DE PRODUCTORES ABANQUINOS Y OTRAS ORGANIZACION DE PRODUCTORES EN MENESTRAS,COMERCIAL HUANCAYO,FREJOL,GRANO SECO DE FRIJOL,APURIMAC,ABANCAY,ABANCAY,88910,0,0,0,0,1500000,0,250,0,0
APU-2016-17,MEJORA DE LA COMPETITIVIDAD DEL HIDROMIEL DE LA GRANJA SANTA ROSA - ANDAHUAYLAS.,DESTILADOS,GRANJA SANTA ROSA EIRL,ADONAY E.I.R.L.,HIDROMIEL,HIDROMIEL,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,360000,0,0,0,0,200000,0,5,0,0
APU-2016-18,MEJORAMIENTO DE LA PROMOCIÛN Y COMERCIALIZACIÛN DEL POLEN EN LA PROVINCIA DE ABANCAY.,OTROS,AGRO ALIMENTARIAS APURIMAC E.I.R.L.,,POLEN,POLEN,APURIMAC,ABANCAY,ABANCAY,182420,0,0,0,0,15000,0,6,0,0
APU-2016-19,MEJORAMIENTO EN LA PROMOCIÛN Y COMERCIALIZACIÛN DE CAFÈ ORMED EN LA PROVINCIA DE ANDAHUAYLAS,CAFE,VILMA ELISA MEDINA HUAMAN,ADONAY E.I.R.L.,CAFE,CAFE ORMED,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,17600,0,0,0,0,40000,0,10,0,0
APU-2016-20,MEJORAMIENTO DE LA PRODUCCION Y COMERCIALIZACION DE HARINAS PRECOCIDAS EN LA PROVINCIA DE ANDAHUAYLAS,GRANOS ANDINOS,"AGROINDUSTRIA ""TODOVIT""",ADONAY E.I.R.L.,QUINUA,HARINAS PRECOCIDAS,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,79100,0,0,0,0,150000,0,10,0,0
APU-2016-21,MEJORAMIENTO EN LA PROMOCIÛN Y COMERCIALIZACIÛN DE HIDROMIEL DE LA EMPRESA MARQUÈS D¥ ARANJUEZ EN LA PROVINICIA DE ANDAHUAYLAS,DESTILADOS,MARQU…S D¥ ARANJUEZ EIRL,ADONAY E.I.R.L.,HIDROMIEL,HIDROMIEL,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,,0,0,0,0,12000,0,5,0,0
APU-2016-22,MEJORAMIENTO DE LA COMERCIALIZACIÛN DE MERMELADAS A BASE DE FRUTAS,OTROS,AGRO ALIMENTARIAS APURIMAC E.I.R.L.,,MERMELADA,MERMELADA DE FRUTAS NATIVAS,APURIMAC,ABANCAY,ABANCAY,18000,0,0,0,0,10000,,6,0,0
APU-2016-23,MEJORAR LA PRODUCCIÛN Y COMERCIALIZACION DE MIEL DE ABEJA EN LA PROVINCIA DE ABANCAY Y GRAU,OTROS,ASOCIACIONES DE APICULTORES DEL DISTRITO DE HUANIPACA,CASA DEL APICULTOR,MIEL DE ABEJA,MIEL DE ABEJA,APURIMAC,ABANCAY,HUANIPACA,11720,0,0,0,0,80000,,50,0,0
APU-2016-24,MEJORAMIENTO DE MARKETING Y PROMOCI”N COMERCIAL DE GALLETAS A BASE DE GRANOS ANDINOS EN LA PROVINCIA DE ABANCAY,GRANOS ANDINOS,CONTRATISTAS GENERALES CONGGA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AGROINDUSTRIAS LATINO E.I.R.L.,QUINUA,GALLETAS DE QUINUA,APURIMAC,ABANCAY,ABANCAY,17825309.56,0,0,0,0,6000000,,15,0,0
APU-2016-25,MEJORAMIENTO Y PROMOCIÛN DE PANETONES A BASE DE GRANOS ANDINOS EN LA PROVINCIA DE ABANCAY,GRANOS ANDINOS,GRUPO CONGGA S.A,,PANETONES DE QUINUA Y KIWICHA,PANETONES,APURIMAC,ABANCAY,ABANCAY,107114,0,0,0,0,80000,,15,0,0
APU-2016-26,MEJORA DE LA PRODUCCIÛN Y COMERCIALIZACI”N DE LA TRUCHA EN LAS PROVINCIAS DE COTABAMBAS Y GRAU,TRUCHA,"""ASOCIACIÛN DE JOVENES EMPRENDEDORES PACHACUTEC"", COMUNIDAD CAMPESINA DE CHOQUERE, DISTRITO DE CHALHUAHUACO, PROVINCIA DE COTABAMBAS - APURIMAC",,TRUCHA,TRUCHA,APURIMAC,COTABAMBAS,TAMBOBAMBA,,0,0,0,0,100000,0,50,0,0
APU-2016-27,MEJORAMIENTO DE LA COMPETITIVIDAD DE PALTA EN LAS PROVINCIAS DE ABANCAY Y AYMARAES,PALTA Y OTROS FRUTALES,ASOCIACIÛN DE AGROPECUARIOS VILLA HERMOZA SECTOR IMPONEDA ABANCAY Y OTRAS ORGANIZACIONES DE PRODUCTORES,,PALTA,PALTA HASS Y FUERTE,APURIMAC,ABANCAY,ABANCAY,264425.7,0,0,0,0,1000000,,150,0,0
APU-2016-28,MEJORA DE LA COMPETITIVIDAD DE LA CARNE DE OVINO EN LAS PROVINCIAS DE COTABAMBAS Y GRAU,GANADERIA ALTOANDINA,ORGANIZACIONES DE PRODUCTORES DE OVINOS DE LAS PROVINCIAS DE COTABAMBAS Y GRAU,,CARNE DE OVINO,CARNE DE OVINO,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,,0,0,0,0,500000,,150,0,0
APU-2016-29,MEJORA DE COMPETITIVIDAD DE PAPA NATIVA EN LA PROVINCIA DE COTABAMBAS,OTROS,ORGANIZACIONES DE PRODUCTORES DE PAPA NATIVA DE LA PROVINCIA DE COTABAMBAS,,PAPA,PAPA HUAYRO Y PERUANITA,APURIMAC,COTABAMBAS,TAMBOBAMBA,,0,0,0,0,200000,0,150,0,0
APU-2016-30,MEJORA DE LA COMPETITIVIDAD LACTEA EN LAS PROVINCIAS DE COTABAMBAS Y GRAU,OTROS,ASOCIACION DE GANADEROS PRODUCTORES DE SAN MARCOS QUELLABAMBA Y OTRAS ORGANIZACIONES DE PRODUCTORES,,LACTEOS,LACTEOS,APURIMAC,COTABAMBAS,HAQUIRA,70330.5,0,0,0,0,1500000,0,200,0,0
ARE-2016-28,MEJORAMIENTO DE LA CALIDAD DE LA LECHE EN LA ETAPA DE ORDE—O PARA LA COOPERATIVA DE SERVICIOS ESPECIALES GANADEROS CRUZ DE PLATA DE TUTI,QUESOS MADUROS,GANADEROS DE TUTI,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,CAYLLOMA,TUTI,,0,0,0,0,839880,,36,0,0
ARE-2016-29,MEJORA DE LA CALIDAD Y ARTICULACI”N COMERCIAL DE LA CADENA LACTEA Y SUS DERIVADOS PARA ASOCIACION DE GANADEROS SAN ISIDRO LABRADOR DE YANQUE,QUESOS MADUROS,ASOCIACION DE GANADEROS SAN ISIDRO LABRADOR DE YANQUE,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,CAYLLOMA,YANQUE,,0,0,0,0,857520,,30,0,0
ARE-2016-30,MEJORAMIENTO DE LA COMPETITIVIDAD DE PRODUCTORES DE UVA RED GLOBE PARA EXPORTACI”N LA JOYA - SANTA RITA DE SIGUAS,PALTA Y OTROS FRUTALES,ASOCIACION DE PRODUCTORES DE UVA DE AREQUIPA,,UVA DE MESA,UVA DE MESA ROJO,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,,0,0,0,0,1320000,,10,0,0
ARE-2016-38,MEJORAMIENTO DE LA PRODUCCION Y COMERCIALIZACION DE LECHE FRESCA PARA LA ASOCIACION DE PRODUCTORES DE GANADO VACUNO DE LAS CUENCAS DE CUYAY Y CHUQUIBA,QUESOS MADUROS,ASOCIACION DE CRIADORES DE GANADO VACUNO Y PROVEEDORES DE LECHE DE LAS CUENCAS DE CUYAY Y CHUQUIBAMBA,,DERIVADOS LACTEOS,LECHE FRESCA,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,216000,0,25,0,0,165000,,25,0,0
ARE-2016-39,GESTION DE INOCUIDAD Y ESTANDARIZACION DE LA CADENA PRODUCTIVA DE LA EMPRESA BIOLACTEOS LINDA CHUQUIBAMBA E.I.R.L.,QUESOS MADUROS,BIOLACTEOS LINDA CHUQUIBAMBA E.I.R.L.,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,CONDESUYOS,IRAY,364500,0,31,0,0,400000,,20,0,0
ARE-2016-40,PRODUCCIÛN PROCESAMIENTO Y ARTICULACIÛN COMERCIAL DE QUINUA ORG·NICA EN LA PROVINCIA DE CASTILLA,GRANOS ANDINOS,COOPERATIVA DE PRODUCTOS ORGANICOS COPROORGANIC,,QUINUA,QUINUA ORGANICA,AREQUIPA,CASTILLA,VIRACO,179470,0,11,0,0,0,,11,0,0
ARE-2016-41,ARTICULACIÛN COMERCIAL DE QUINUA ORG·NICA EN LA PROVINCIA DE AREQUIPA,GRANOS ANDINOS,ASOCIACIÛN DE PRODUCTORES AGROINDUSTRIALES ECOLÛGICOS DE LA ZONA SUR ORIENTAL DE AREQUIPA,,QUINUA,QUINUA,AREQUIPA,AREQUIPA,JACOBO HUNTER,440662,0,18,0,0,450000,,0,0,0
ARE-2016-42,"MEJORAMIENTO DE LA PRODUCCIÛN, ARTICULACIÛN COMERCIAL Y COMPETITIVIDAD DE LA EMPRESA PRODUCTOS L¡CTEOS BEL…N E.I.R.L.",QUESOS MADUROS,PRODUCTOS L¡CTEOS BEL…N E.I.R.L.,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,291600,0,21,0,0,576000,,0,0,0
ARE-2016-31,"MEJORAMIENTO DE LA COMPETITIVIDAD DE LOS DERIVADOS LACTEOS CON LA DIVERSIFICACI”N DE SUS PRODUCTOS, PARA LA COOPERATIVA DE SERVICIOS ESPECIALES ECOGAN",QUESOS MADUROS,COOPERATIVA DE SERVICIOS ESPECIALES ECOGANADEROS DE ACHOMA,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,CAYLLOMA,ACHOMA,,0,0,0,0,857520,,30,0,0
ARE-2016-32,"MEJORAMIENTO DE LA COMPETITIVIDAD DE LOS DERIVADOS LACTEOS CON LA DIVERSIFICACI”N DE SUS PRODUCTOS, PARA LA ASOCIACION LA PERLA DE CASTILLA",QUESOS MADUROS,ASOCIACION LA PERLA DE CASTILLA,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,CASTILLA,CHACHAS,,0,0,0,0,842400,,100,0,0
ARE-2016-33,MEJORA DE LA CALIDAD Y ARTICULACI”N COMERCIAL DE LA CADENA LACTEA Y SUS DERIVADOS PARA COOPERATIVA DE GANADEROS BROW SWISS MEDIO AMBIENTE DEL SECTOR C,QUESOS MADUROS,COOPERATIVA DE GANADEROS BROW SWISS MEDIO AMBIENTE DEL SECTOR CANACETA,,DERIVADOS LACTEOS,LECHE FRESCA,AREQUIPA,CAYLLOMA,CALLALLI,,0,0,0,0,0,,0,0,0
ARE-2016-34,"PRODUCCI”N, ARTICULACI”N Y COMERCIALIZACI”N DE FIBRA DE ALPACA CON TRANSFERENCIA DE TECNOLOGÕA ASISTIDA EN LA COOPERATIVA YURAC QORI DE TISCO",GANADERIA ALTOANDINA,COOPERATIVA DE SERVICIOS ESPECIALES YURAC QORI,,FIBRA DE ALPACA,FIBRA DE ALPACA,AREQUIPA,CAYLLOMA,TISCO,1551657,0,50,0,0,250000,,85,0,0
ARE-2016-35,"PRODUCCI”N, ARTICULACI”N Y COMERCIALIZACI”N DE FIBRA DE ALPACA CON TRANSFERENCIA DE TECNOLOGÕA ASISTIDA EN LA ASOCIACI”N DE ALPAQUEROS RAN RAN DE TUTI",GANADERIA ALTOANDINA,ASOCIACIÛN DE ALPAQUEROS RAN RAN DEL DISTRITO DE TUTI,,FIBRA DE ALPACA,FIBRA DE ALPACA,AREQUIPA,CAYLLOMA,TUTI,,0,0,0,0,0,,0,0,0
ARE-2016-36,"PRODUCCI”N, ARTICULACI”N Y COMERCIALIZACI”N DE FIBRA DE ALPACA CON TRANSFERENCIA DE TECNOLOGÕA ASISTIDA EN LA ASOCIACI”N DE PRODUCTORES ALPAQUEROS DEL",GANADERIA ALTOANDINA,ASOCIACIÛN DE CRIADORES DE ALPACAS DEL DISTRITO DE SIBAYO - ASCADIS,,FIBRA DE ALPACA,FIBRA DE ALPACA,AREQUIPA,CAYLLOMA,SIBAYO,,0,0,0,0,200000,,250,0,0
ARE-2016-37,FORTALECIMIENTO DE CAPACIDADES EN LA PRODUCCIÛN DE TRUCHA Y SU ARTICULACIÛN COMERCIAL EVISCERADA Y PROCESADA PARA LA ASOCIACION DE PRODUCTORES DE TRUC,TRUCHA,ASOCIACION DE PRODUCTORES DE TRUCHA DE CHALHUANCA DEL DISTRITO DE YANQUE,,TRUCHA,TRUCHA,AREQUIPA,CAYLLOMA,YANQUE,,0,0,0,0,0,,0,0,0
ARE-2016-01,PROCESAMIENTO Y ARTICULACION COMERCIAL DE FIBRA DE ALPACA CON VALOR AGREGADO CON PRODUCTORES ALPAQUEROS DE LA ASOCIACION ASCAD,GANADERIA ALTOANDINA,ASOCIACION DE CRIADORES DE ALPACAS DEL DISTRITO DE CALLALLI-ASCAD CALLALLI,,FIBRA DE ALPACA,FIBRA DE ALPACA,AREQUIPA,CAYLLOMA,CALLALLI,,0,0,0,0,3318212.5,,100,0,0
ARE-2016-02,PROCESAMIENTO Y ARTICULACION COMERCIAL DE FIBRA DE ALPACA CON VALOR AGREGADO CON PRODUCTORES ALPAQUEROS DE FEDERACION REGIONAL DE ALPAQUEROS DE AREQUI,GANADERIA ALTOANDINA,FEDERACION REGIONAL DE ALPAQUEROS DE AREQUIPA,,FIBRA DE ALPACA,FIBRA DE ALPACA,AREQUIPA,CAYLLOMA,CAYLLOMA,659211.95,0,112,0,0,3318212.5,,200,0,0
ARE-2016-03,PROCESAMIENTO Y ARTICULACION COMERCIAL DE CARNE Y VISCERAS DE ALPACA CON COOPERATIVA COSEACEC,GANADERIA ALTOANDINA,COOPERATIVA DE SERVICIOS ESPECIALES ALPAQUEROS CASTILLOS ENCANTADOS DE CALLALLI,,CARNE DE ALPACA,CARNE DE ALPACA,AREQUIPA,CAYLLOMA,CALLALLI,0,0,30,0,0,0,,0,0,0
ARE-2016-04,MEJORAMIENTO DE LA COMPETITIVAD DE PEQUEÒOS PRODUCTORES DE UVA RED GLOBE PARA LA EXPORTACIÛN -LA JOYA,PALTA Y OTROS FRUTALES,ASOCIACION DE FRUTICULTORES AGRO MISTI LA JOYA,,UVA DE MESA,UVA DE MESA ROJO,AREQUIPA,AREQUIPA,LA JOYA,6076500,1916000,20,0,0,3600000,,24,0,0
ARE-2016-05,MEJORA DE LA COMPETITIVIDAD PRODUCTIVA DEL CULTIVO DE PALTA HASS EN LA JOYA,PALTA Y OTROS FRUTALES,ASOCIACION LA JOYA AGRO EXPORT,,PALTA,PALTA HASS,AREQUIPA,AREQUIPA,LA JOYA,1093424.46,0,38,0,0,888132,,34,0,0
