Cod. Plan,Nombre Plan de negocio,Programa,Cliente,Comprador,Producto,Sub producto,Departamento,Provincia,Distrito,Ejecutado,,,,,Proyectado,,,,
,,,,,,,,,,Ventas,Venta Exportacion,Beneficiarios,Jornales,Inversion,Ventas,Venta Exportacion,Beneficiarios,Jornales,Inversion
AMA-2016-19,MEJORAMIENTO Y DESARROLLO DE LA CADENA PRODUCTIVA DE GRANADILLA -BUENOS AIRES,PALTA Y OTROS FRUTALES,ASOCIACI”N DE PRODUCTORES AGROPECUARIOS Y CONSERVACIONISTAS DE AMAZONAS,MERCADO DE BAGUA GRANDE,GRANADILLA,GRANADILLA COLOMBIANA,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,864150,0,58,0,0,250000,,60,0,0
AMA-2016-20,MEJORAMIENTO Y DESARROLLO DE LA CADENA PRODUCTIVA DE PI—A -EL PORVENIR,PALTA Y OTROS FRUTALES,ASOCIACI”N DE PRODUCTORES AGROECOLOGICOS LA PERLA TURISTICA DE ARAMANGO,CEPICAFE (CENTRALPIURANA DE CAFETALERO),PI—A,FRUTA FRESCA DE PIÒA,AMAZONAS,BAGUA,ARAMANGO,3806205,0,72,0,0,1500000,0,75,0,0
AMA-2016-21,MEJORAMIENTO Y DESARROLLO DE LA CADENA PRODUCTIVA DE PI—A -CAMPO BONITO,PALTA Y OTROS FRUTALES,ASOCIACI”N DE PRODUCTORES AGROPECUARIOS DE CAMPO BONITO,CEPICAFE (CENTRALPIURANA DE CAFETALERO),PI—A,FRUTA FRESCA DE PIÒA,AMAZONAS,BAGUA,,1840940,0,38,0,0,250000,0,45,0,0
AMA-2016-22,MEJORAMIENTO Y DESARROLLO DE LA CADENA PRODUCTIVA DE PI—A -CORAZ”N DE MARIA,PALTA Y OTROS FRUTALES,ASOCIACION DE PRODUCTORES AGROPECUARIOS CORAZON DE MARIA,CEPICAFE (CENTRALPIURANA DE CAFETALERO),PI—A,FRUTA FRESCA DE PIÒA,AMAZONAS,BAGUA,,1412404,0,25,0,0,300000,0,37,0,0
AMA-2016-23,MEJORAMIENTO Y DESARROLLO DE LA CADENA PRODUCTIVA DE LA CA—A DE BAMBU -IMAZA,FORESTAL,ASOCIACI”N DE PRODUCTORES DE BAMBU NUGKUI SECTOR IMAZA - CHIRIACO (APROBANSI),CARPINORTE SAC,BAMBU,CAÒA DE BAMBU,AMAZONAS,BAGUA,IMAZA,1272000,0,80,0,0,400000,0,35,0,0
AMA-2016-24,MEJORAMIENTO Y DESARROLLO DE LA CADENA PRODUCTIVA DE LA CA—A DE BAMBU -ARAMANGO,FORESTAL,ASOCIACI”N DE PRODUCTORES DE BAMBU RÕO MARA—”N DE ARAMANGO,CARPINORTE SAC,BAMBU,CAÒA DE BAMBU,AMAZONAS,BAGUA,ARAMANGO,2569290,0,54,0,0,1500000,0,54,0,0
AMA-2016-30,DESARROLLO DE LA CADENA PRODUCTIVA COMERCIAL DE CAF…S ESPECIALES-FLOR DEL CAFE,CAFE,ASOCIACION DE PRODUCTORES AGROPECUARIOS LA FLOR DE CAFE,COFFEE TEAM,CAFE,CAFE ORGANICO,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,7642979.29,7642979.29,269,0,0,0,2000000,289,0,0
AMA-2016-31,DESARROLLO DE LA CADENA PRODUCTIVA COMERCIAL DE AZUCENAS-TAQUIA,OTROS,ASOCIACIÛN DE PRODUCTORES DE AZUCENAS DE TAQUIA,"COMERCIANTES DE CHICLAYO, TRUJILLO Y LIMA",AZUCENAS,AZUCENAS,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,876552,0,25,0,0,300000,0,50,0,0
AMA-2016-25,DESARROLLO DE LA CADENA PRODUCTIVA Y COMERCIALIZACI”N DEL CACO EN LA SOCIACI”N DE PRODUCTORES AGROECOLOGICOS APAE DE SANTA MARIA DE NIEVA,CACAO,ASOCIACI”N DE PRODUCTORES AGROECOLOGICOS APAE DE SANTA MARÕA DE NIEVA,,CACAO,CACAO ORGANICO,AMAZONAS,CONDORCANQUI,NIEVA,195500,195500,647,0,0,199899048,,0,0,0
AMA-2016-26,PRODUCCI”N Y COMERCIALIZACI”N DE YOGURT FRUTADO BATIDO,OTROS,INGENIEROS E INVERSIONES TILACANCHA,,DERIVADOS LACTEOS,DERIVADOS LACTEOS,AMAZONAS,CHACHAPOYAS,LEVANTO,151938,0,10,0,0,134400,,0,0,0
